Compound,H2O
MolarMass,18.015
""
Energy_eV,Energy_MeV,mu_m_cm2_g
9.293806770486164,9.293806770486164e-6,0.013238915005749967
9.341015200809924,9.341015200809923e-6,0.013619751206582147
9.388463429092546,9.388463429092546e-6,0.014011686187188527
9.436152673401667,9.436152673401666e-6,0.014415047728666718
9.484084157992164,9.484084157992164e-6,0.014844111187448491
9.5322591133376,9.5322591133376e-6,0.015350356951225512
9.580678776161779,9.580678776161778e-6,0.015813871459095165
9.629344389470532,9.629344389470531e-6,0.016291395947758826
9.678257202583605,9.678257202583605e-6,0.016783354287438705
9.727418471166734,9.727418471166734e-6,0.01732122828315274
9.776829457263888,9.776829457263888e-6,0.017882161852179432
9.826491429329653,9.826491429329653e-6,0.018461321686332473
9.876405662261813,9.876405662261813e-6,0.019059302031342373
9.926573437434062,9.926573437434062e-6,0.019676716574697065
9.976996042728906,9.976996042728906e-6,0.02031419908392701
10.02767477257073,0.00001002767477257073,0.02091822546869227
10.07861092795902,0.000010078610927959018,0.02149395780548611
10.129805816501761,0.000010129805816501761,0.022104568386037363
